"title","source","published_at","url"
"Sales automation startup Rox AI hits $1.2B valuation, sources say - TechCrunch","TechCrunch","Thu, 12 Mar 2026 22:25:50 GMT","https://news.google.com/rss/articles/CBMinwFBVV95cUxQdXVJMzd5YnhnM3phZ0JhUU1PRTYtLXhHNVZ6WVA5b1pWWTVtZG45SFJPbktIZWFEVDNUd1NHeXVuVXZ0THpOc0RNeEtFSHZBVjQtOE9Qd0FBZlJHZUMyY3JNUEFVeVdCeGpTN1Q3TW1TZEV0b1BFUWZJZjRpSlpCVTVtMEdsZU1WWFVQWThTcjY2TGFOTUlxZnlDdEtqdWM?oc=5"
"Ford’s new AI assistant will help fleet owners know if seatbelts are being used - TechCrunch","TechCrunch","Wed, 11 Mar 2026 22:51:39 GMT","https://news.google.com/rss/articles/CBMiswFBVV95cUxONGtTNEVJTlZVZ1VReEhvUENWVERoWVJOaEZfcDJ5d0tuRURwN3ROc0tVdkNJWUhVdHJ5R3R4bURSVXZIVnFTYXZwQU5jaWJhaTVHWHVUTWxhOERKcUh6akhOMm1XZHhnX3I5dTVDRHJMdTdrdnBOVzh4Y2xhakFaWlI0dFBJdG1Db1NZamNyODZGNWtkRWdjSldEMzFSN0tpYlo3UWw0b21DME9CR0hiLTlsWQ?oc=5"
"Tinder tries to lure people back to online dating with IRL events, virtual speed dating - TechCrunch","TechCrunch","Thu, 12 Mar 2026 18:00:00 GMT","https://news.google.com/rss/articles/CBMivgFBVV95cUxQSU8zVjkzV28zVEV6WmJjdHpDZUVnT2dzRDNWZkhCbm01aDdMSWZwMUloZVV5akdiZENJQURJNjJjd29IUmU3dkVEQUVZSVh2dTNWTE1nSWNlS05VamRja0FPWlVVeHJJYXBjRmNtcHBfQ1JjRVQ5Z2gwYjkwQU1tMWpSellFNnJReEZQVlBIbV9oZVh4ckNZeDBxYS15VG9qRkQ1LVVMYzFIZml4YnFvcGk1bjFJVXVqT1RvdlFR?oc=5"
"WordPress debuts a private workspace that runs in your browser via a new service, my.WordPress.net - TechCrunch","TechCrunch","Wed, 11 Mar 2026 16:43:59 GMT","https://news.google.com/rss/articles/CBMizAFBVV95cUxQSmVkUDlyczVFMm4zVTJSdnFXcWxqV3ItTkZRQkVoUDN4ZVR6a3pYNXc1cVlqdjRZb1BvUTFOckg0bjFObnVWMjBpWHY3T0JLVGRxdFFUX19rZUtzd0NzY0hkTjNFbm90d09vdjhqQVJuVHVmNWpPOWxSV1lUeGFUWjdxNHlVZnF4ZjBJaEcwVVozU05iSXc1Y3BjSlBqazdFOW1sM0tOcVd0M3c4aG5kRElpWTJpaFlEdTlVM0JfZHotcDZFOW44YVZiV3I?oc=5"
"The latest AI news we announced in January - blog.google","blog.google","Wed, 04 Feb 2026 08:00:00 GMT","https://news.google.com/rss/articles/CBMihAFBVV95cUxNWGhwSDMzTTJlai1KTVNteWd0WGEwd0NTLXdSbDhzdzJ0X1J1a0FlWFVFNlJVc2VRT3IxN0kyek5jcjJGX0cwQnBHT2t3Q0hJUTlfTEpDeVRFSVlnWjhDd2tIaUMtNDczd0xzUWxpSHVwYkh0OWF6QnhjMGxRaVJfUUZ0QUY?oc=5"
"The latest AI news we announced in February - blog.google","blog.google","Thu, 05 Mar 2026 16:30:00 GMT","https://news.google.com/rss/articles/CBMihgFBVV95cUxQTVJqc1hrSzRwRFRndTJQTTduUmQwemU3T3F5MWlxLVFWZm5rMjVQNFBONXIzVlRFTWFRTXBhdkktTzBDOHdJRDIxbkV4YmZ4UFBuc3QzZER6TEo2RktrMS12TGY0VkUwREpGWXpqcm81aWxORVBjZTNmRV9oT2IwZUwtN1dnQQ?oc=5"
"OpenAI: Latest news and insights - Computerworld","Computerworld","Tue, 10 Mar 2026 07:00:00 GMT","https://news.google.com/rss/articles/CBMiigFBVV95cUxQSUx6MU1ra2JXOEhJSm9vOEt4b3Q4bFphVXlnZ014REhOTmNfNXdOalBsUWJtWTFwUU5ZaUJOTVRZNFotQzVCcUZ6bGFXWWhqbzFIWmNJaVFrWUZPVWVxS2N6UDRrRHdkUGVIVnZiQlgwc1VpeWVZc3Q4NnI1LUN5T0RpV0gtdTlDenc?oc=5"
"Meta pushes AI model 'Avocado' rollout to May or later, NYT reports - Yahoo Finance","Yahoo Finance","Thu, 12 Mar 2026 23:56:02 GMT","https://news.google.com/rss/articles/CBMif0FVX3lxTE1iVmxBZGl2RGdiVDhTcDJXQkRYZWFlanhMQmxlX3dzN0RIMnhVZHFOLW9MRTRPMXE0QmM4TnVSWE5uSHZmZTFNUExEejJKU2pyZmV6QmxCdEx2TlFoR1JYU1J5dkY0XzNpVTFXV1paeUcxMWY3STVxMEYyaTVYMk0?oc=5"
"Google-Wiz Innovation Plans: New AI Security Platform, Gemini Integration, And Global Scale Ahead - crn.com","crn.com","Thu, 12 Mar 2026 17:32:00 GMT","https://news.google.com/rss/articles/CBMixgFBVV95cUxPcWhGOE82LXBjRmRtUVpUN0hfTDhMSUx5UTNLNVZ4alZTTFRGRDJIYWlST28ybUV0SHg0U3c0TGZBMWtlcjhjZjRNaElaai1HUFdCZXI4dEY4a0tabWFoMlJJUndZYXc4dVBmRHFoNnpDY05EYVdpVVV0WVhUT0J2eDlUNDN6V2gtQlAxVkJyZk1zWXNHS2hkWE5mYUxzUzZZU1hYODlwNS01eGRNTmZnejVTblN6aDQ5RHZNRlg5SzlKVEhyc2c?oc=5"
"Meta delays release of new AI model on performance concerns- NYT - Investing.com","Investing.com","Fri, 13 Mar 2026 00:50:48 GMT","https://news.google.com/rss/articles/CBMivAFBVV95cUxQNTJhMVNuZVBuNjZGT0JDU2tfMzZEaVYzMHI1Ui1PUC1UUVFmNlRYWVdVSTlmLWhGQ0FOdlBoWEJINXRiYnBoTFpHR0FrZE4xRXFUNk4wdHdERlZXRVN3MlRTdDNyb2YtX2hmRGFEelI3RHl2LXUzTkJGSGgzZzZHRmlSZXRyR05BSVIyWkxUc2tSbTBROGUwQVJZa3p6NHZQdVRTbmVOc0p2dVZnc1R2YjZyMENfeWE1STBTSw?oc=5"
